Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",747,"(+/- 446 )",2955,"(+/- 1105 )",1219,"(+/- 561 )",5090,"(+/- 835 )",5958,"(+/- 1158 )",9083,"(+/- 1597 )",7730,"(+/- 1667 )",3642,"(+/- 783 )",1335,"(+/- 668 )",2214,"(+/- 883 )",458,"(+/- 274 )",3819,"(+/- 1179 )",1380,"(+/- 603 )",2062,"(+/- 664 )",3325,"(+/- 915 )",3284,"(+/- 928 )"
Workers,Industry,Construction,20100,"(+/- 2448 )",22585,"(+/- 2867 )",15327,"(+/- 2308 )",16991,"(+/- 1894 )",18353,"(+/- 1713 )",22498,"(+/- 2654 )",24111,"(+/- 2336 )",18890,"(+/- 2375 )",17407,"(+/- 2158 )",16167,"(+/- 2015 )",10335,"(+/- 1668 )",18974,"(+/- 2878 )",19432,"(+/- 2637 )",21370,"(+/- 2422 )",23003,"(+/- 2363 )",21172,"(+/- 2194 )"
Workers,Industry,Manufacturing,46154,"(+/- 3731 )",48595,"(+/- 3169 )",30844,"(+/- 3406 )",81923,"(+/- 4070 )",81297,"(+/- 3823 )",40165,"(+/- 3213 )",66505,"(+/- 4494 )",65286,"(+/- 4017 )",48819,"(+/- 3189 )",39129,"(+/- 3095 )",36381,"(+/- 3239 )",42441,"(+/- 3377 )",57179,"(+/- 3864 )",60323,"(+/- 4608 )",40019,"(+/- 3210 )",56425,"(+/- 3849 )"
Workers,Industry,"Wholesale trade",9519,"(+/- 1431 )",8472,"(+/- 1407 )",9982,"(+/- 1968 )",9795,"(+/- 1279 )",7825,"(+/- 1474 )",4079,"(+/- 808 )",10637,"(+/- 1502 )",9371,"(+/- 1601 )",9537,"(+/- 1819 )",7408,"(+/- 1629 )",6945,"(+/- 1407 )",9905,"(+/- 1877 )",8522,"(+/- 1478 )",11075,"(+/- 1973 )",10313,"(+/- 1562 )",10312,"(+/- 1657 )"
Workers,Industry,"Retail trade",39505,"(+/- 3246 )",40918,"(+/- 3652 )",43924,"(+/- 3344 )",34093,"(+/- 3063 )",40050,"(+/- 3186 )",36999,"(+/- 3174 )",37266,"(+/- 3162 )",39119,"(+/- 2939 )",37513,"(+/- 2781 )",33601,"(+/- 3003 )",30792,"(+/- 3418 )",45067,"(+/- 3621 )",45047,"(+/- 4048 )",34916,"(+/- 3203 )",42717,"(+/- 3268 )",45784,"(+/- 3704 )"
Workers,Industry,"Transportation and warehousing, and utilities",19310,"(+/- 2602 )",16144,"(+/- 2106 )",28420,"(+/- 2967 )",15623,"(+/- 1787 )",17708,"(+/- 2001 )",19702,"(+/- 1956 )",20063,"(+/- 2751 )",18606,"(+/- 1945 )",18646,"(+/- 2262 )",13881,"(+/- 2014 )",13190,"(+/- 1651 )",16517,"(+/- 2675 )",19351,"(+/- 2461 )",14761,"(+/- 2361 )",23403,"(+/- 2508 )",18075,"(+/- 1923 )"
Workers,Industry,Information,6367,"(+/- 1469 )",5337,"(+/- 1011 )",7866,"(+/- 1508 )",3963,"(+/- 957 )",4679,"(+/- 842 )",4162,"(+/- 1052 )",4658,"(+/- 956 )",5050,"(+/- 1163 )",6703,"(+/- 1667 )",4131,"(+/- 955 )",3807,"(+/- 986 )",8636,"(+/- 1158 )",6296,"(+/- 1123 )",5144,"(+/- 1020 )",6027,"(+/- 1178 )",6073,"(+/- 1256 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",29110,"(+/- 2432 )",24638,"(+/- 2274 )",35777,"(+/- 3328 )",13079,"(+/- 1628 )",16823,"(+/- 1546 )",12572,"(+/- 1873 )",17869,"(+/- 2065 )",20377,"(+/- 2523 )",18333,"(+/- 2208 )",22411,"(+/- 2547 )",19644,"(+/- 2058 )",40691,"(+/- 3486 )",13755,"(+/- 1916 )",28702,"(+/- 2618 )",28897,"(+/- 2875 )",25112,"(+/- 2524 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",47587,"(+/- 3650 )",41850,"(+/- 3266 )",46239,"(+/- 4213 )",21563,"(+/- 1993 )",27033,"(+/- 2593 )",21832,"(+/- 2059 )",25326,"(+/- 2455 )",34312,"(+/- 3081 )",29270,"(+/- 2709 )",37918,"(+/- 2963 )",30015,"(+/- 2766 )",45416,"(+/- 2804 )",27591,"(+/- 3487 )",40978,"(+/- 3230 )",35486,"(+/- 3049 )",34759,"(+/- 2420 )"
Workers,Industry,"Educational services, and health care and social assistance",85862,"(+/- 5335 )",84413,"(+/- 4272 )",89232,"(+/- 5395 )",75826,"(+/- 3927 )",89982,"(+/- 4524 )",76859,"(+/- 4631 )",72826,"(+/- 4383 )",78468,"(+/- 4592 )",76500,"(+/- 4356 )",89131,"(+/- 4842 )",90305,"(+/- 4379 )",96356,"(+/- 4734 )",76115,"(+/- 4354 )",81033,"(+/- 4619 )",96372,"(+/- 4116 )",87241,"(+/- 3642 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",33868,"(+/- 3118 )",29734,"(+/- 2953 )",42209,"(+/- 4513 )",27491,"(+/- 2732 )",30793,"(+/- 3003 )",23127,"(+/- 2404 )",27891,"(+/- 2868 )",31125,"(+/- 2739 )",39457,"(+/- 2969 )",33451,"(+/- 3025 )",27536,"(+/- 3288 )",35947,"(+/- 3743 )",36846,"(+/- 3197 )",27336,"(+/- 2932 )",28115,"(+/- 3059 )",29773,"(+/- 2443 )"
Workers,Industry,"Other services, except public administration",14340,"(+/- 2230 )",17374,"(+/- 2531 )",18561,"(+/- 2386 )",15011,"(+/- 1723 )",13149,"(+/- 1765 )",15056,"(+/- 2226 )",13586,"(+/- 1673 )",16510,"(+/- 2259 )",14230,"(+/- 1667 )",14230,"(+/- 1735 )",13965,"(+/- 2189 )",17911,"(+/- 1990 )",17090,"(+/- 2330 )",17180,"(+/- 1829 )",16919,"(+/- 2196 )",16370,"(+/- 2141 )"
Workers,Industry,"Public administration",12795,"(+/- 1922 )",11187,"(+/- 1864 )",17511,"(+/- 2438 )",10330,"(+/- 1507 )",10619,"(+/- 1376 )",10797,"(+/- 1742 )",11086,"(+/- 1916 )",10661,"(+/- 1680 )",13137,"(+/- 1704 )",18444,"(+/- 2107 )",10024,"(+/- 1332 )",17288,"(+/- 1992 )",9835,"(+/- 1589 )",12698,"(+/- 1701 )",21353,"(+/- 2533 )",10768,"(+/- 1794 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",365264,"(+/- 5966 )",354202,"(+/- 7929 )",387111,"(+/- 8795 )",330778,"(+/- 5833 )",364269,"(+/- 6198 )",296931,"(+/- 7164 )",339554,"(+/- 6359 )",351417,"(+/- 4890 )",330887,"(+/- 8131 )",332116,"(+/- 5748 )",293397,"(+/- 7451 )",398968,"(+/- 8012 )",338439,"(+/- 7968 )",357578,"(+/- 7600 )",375949,"(+/- 7598 )",365148,"(+/- 7854 )"
Workers,"Class of Worker","Private wage and salary workers",307793,"(+/- 6283 )",296219,"(+/- 7327 )",319444,"(+/- 8337 )",281063,"(+/- 5750 )",302430,"(+/- 6349 )",242959,"(+/- 6451 )",284321,"(+/- 6859 )",299072,"(+/- 5814 )",278842,"(+/- 8076 )",270016,"(+/- 5760 )",245981,"(+/- 7769 )",325617,"(+/- 7839 )",287994,"(+/- 7831 )",295709,"(+/- 7515 )",295293,"(+/- 7999 )",309054,"(+/- 7753 )"
Workers,"Class of Worker","Government workers",40592,"(+/- 3892 )",37889,"(+/- 3221 )",49059,"(+/- 4213 )",34971,"(+/- 2938 )",43501,"(+/- 3307 )",37517,"(+/- 3275 )",34921,"(+/- 2879 )",35161,"(+/- 3020 )",37774,"(+/- 3292 )",45737,"(+/- 2998 )",35220,"(+/- 2945 )",50593,"(+/- 3148 )",35437,"(+/- 3342 )",41650,"(+/- 3805 )",62740,"(+/- 4228 )",38368,"(+/- 2673 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",16334,"(+/- 2081 )",19862,"(+/- 2530 )",18049,"(+/- 2556 )",14299,"(+/- 1460 )",17162,"(+/- 1974 )",15997,"(+/- 2080 )",19201,"(+/- 2121 )",16221,"(+/- 2075 )",14063,"(+/- 2065 )",15870,"(+/- 1887 )",11827,"(+/- 1814 )",22172,"(+/- 2526 )",14601,"(+/- 1927 )",19928,"(+/- 2499 )",17626,"(+/- 1946 )",16863,"(+/- 2025 )"
Workers,"Class of Worker","Unpaid family workers",545,"(+/- 378 )",232,"(+/- 224 )",559,"(+/- 425 )",445,"(+/- 272 )",1176,"(+/- 821 )",458,"(+/- 300 )",1111,"(+/- 477 )",963,"(+/- 486 )",208,"(+/- 144 )",493,"(+/- 399 )",369,"(+/- 304 )",586,"(+/- 306 )",407,"(+/- 405 )",291,"(+/- 245 )",290,"(+/- 225 )",863,"(+/- 471 )"
Housing,"Housing Occupancy","Total housing units",327196,"(+/- 3982 )",325777,"(+/- 4373 )",339631,"(+/- 4632 )",312495,"(+/- 2343 )",312862,"(+/- 3075 )",323767,"(+/- 2467 )",307120,"(+/- 3575 )",304947,"(+/- 824 )",354568,"(+/- 5300 )",335780,"(+/- 1202 )",363313,"(+/- 4539 )",318136,"(+/- 4160 )",340001,"(+/- 4415 )",313205,"(+/- 2947 )",318593,"(+/- 4155 )",304310,"(+/- 4323 )"
Housing,"Housing Occupancy","Occupied housing units",296321,"(+/- 3981 )",297390,"(+/- 4600 )",304414,"(+/- 4588 )",280785,"(+/- 3071 )",287898,"(+/- 3284 )",272868,"(+/- 4111 )",281886,"(+/- 4037 )",276346,"(+/- 3650 )",303638,"(+/- 5698 )",299196,"(+/- 3397 )",302266,"(+/- 4603 )",293574,"(+/- 4512 )",304871,"(+/- 4717 )",287281,"(+/- 4073 )",290515,"(+/- 4758 )",287943,"(+/- 4671 )"
Housing,"Housing Occupancy","Vacant housing units",30875,"(+/- 3118 )",28387,"(+/- 3142 )",35217,"(+/- 3626 )",31710,"(+/- 2688 )",24964,"(+/- 2969 )",50899,"(+/- 3612 )",25234,"(+/- 2689 )",28601,"(+/- 3438 )",50930,"(+/- 3578 )",36584,"(+/- 3383 )",61047,"(+/- 3773 )",24562,"(+/- 2792 )",35130,"(+/- 3305 )",25924,"(+/- 2934 )",28078,"(+/- 3244 )",16367,"(+/- 2489 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.6,"(+/- 0.4 )",0.8,"(+/- 0.3 )",1.9,"(+/- 0.8 )",1.7,"(+/- 0.5 )",1.5,"(+/- 0.5 )",2.5,"(+/- 0.7 )",0.7,"(+/- 0.3 )",1.1,"(+/- 0.5 )",2.0,"(+/- 0.7 )",2.2,"(+/- 0.6 )",2.4,"(+/- 0.7 )",1.0,"(+/- 0.5 )",2.1,"(+/- 0.7 )",1.1,"(+/- 0.4 )",0.7,"(+/- 0.4 )",1.0,"(+/- 0.4 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.6,"(+/- 1.3 )",4.7,"(+/- 1.2 )",5.7,"(+/- 1.2 )",4.9,"(+/- 1.3 )",3.9,"(+/- 1.4 )",10.1,"(+/- 2.0 )",3.8,"(+/- 1.4 )",5.9,"(+/- 1.4 )",4.7,"(+/- 1.0 )",5.6,"(+/- 1.3 )",8.4,"(+/- 1.2 )",5.8,"(+/- 1.7 )",3.1,"(+/- 1.1 )",6.2,"(+/- 1.7 )",5.9,"(+/- 1.5 )",4.8,"(+/- 1.8 )"
Housing,"Housing Tenure","Occupied housing units",296321,"(+/- 3981 )",297390,"(+/- 4600 )",304414,"(+/- 4588 )",280785,"(+/- 3071 )",287898,"(+/- 3284 )",272868,"(+/- 4111 )",281886,"(+/- 4037 )",276346,"(+/- 3650 )",303638,"(+/- 5698 )",299196,"(+/- 3397 )",302266,"(+/- 4603 )",293574,"(+/- 4512 )",304871,"(+/- 4717 )",287281,"(+/- 4073 )",290515,"(+/- 4758 )",287943,"(+/- 4671 )"
Housing,"Housing Tenure",Owner-occupied,180267,"(+/- 4229 )",199034,"(+/- 4322 )",137939,"(+/- 4672 )",196844,"(+/- 3980 )",206431,"(+/- 4202 )",204482,"(+/- 4387 )",204943,"(+/- 4484 )",191690,"(+/- 3673 )",173796,"(+/- 4837 )",183626,"(+/- 3959 )",144673,"(+/- 4089 )",212959,"(+/- 4409 )",195306,"(+/- 4832 )",219867,"(+/- 4563 )",201475,"(+/- 4163 )",216849,"(+/- 4901 )"
Housing,"Housing Tenure",Renter-occupied,116054,"(+/- 3968 )",98356,"(+/- 3924 )",166475,"(+/- 5707 )",83941,"(+/- 3705 )",81467,"(+/- 3527 )",68386,"(+/- 3631 )",76943,"(+/- 4322 )",84656,"(+/- 4111 )",129842,"(+/- 5333 )",115570,"(+/- 4328 )",157593,"(+/- 4658 )",80615,"(+/- 4404 )",109565,"(+/- 4862 )",67414,"(+/- 3903 )",89040,"(+/- 4410 )",71094,"(+/- 3549 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.54,"(+/- 0.04 )",2.51,"(+/- 0.04 )",2.58,"(+/- 0.06 )",2.48,"(+/- 0.03 )",2.55,"(+/- 0.03 )",2.53,"(+/- 0.04 )",2.61,"(+/- 0.04 )",2.66,"(+/- 0.04 )",2.42,"(+/- 0.05 )",2.41,"(+/- 0.04 )",2.26,"(+/- 0.06 )",2.73,"(+/- 0.05 )",2.30,"(+/- 0.04 )",2.57,"(+/- 0.04 )",2.65,"(+/- 0.04 )",2.57,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.25,"(+/- 0.05 )",2.22,"(+/- 0.07 )",2.43,"(+/- 0.06 )",2.30,"(+/- 0.07 )",2.13,"(+/- 0.08 )",2.28,"(+/- 0.08 )",2.26,"(+/- 0.07 )",2.39,"(+/- 0.08 )",2.20,"(+/- 0.06 )",2.17,"(+/- 0.05 )",2.06,"(+/- 0.05 )",2.24,"(+/- 0.08 )",2.24,"(+/- 0.07 )",2.20,"(+/- 0.08 )",2.32,"(+/- 0.09 )",2.06,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",296321,"(+/- 3981 )",297390,"(+/- 4600 )",304414,"(+/- 4588 )",280785,"(+/- 3071 )",287898,"(+/- 3284 )",272868,"(+/- 4111 )",281886,"(+/- 4037 )",276346,"(+/- 3650 )",303638,"(+/- 5698 )",299196,"(+/- 3397 )",302266,"(+/- 4603 )",293574,"(+/- 4512 )",304871,"(+/- 4717 )",287281,"(+/- 4073 )",290515,"(+/- 4758 )",287943,"(+/- 4671 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",90359,"(+/- 4237 )",80904,"(+/- 4575 )",117951,"(+/- 4956 )",67067,"(+/- 3509 )",73516,"(+/- 3501 )",53057,"(+/- 3437 )",67362,"(+/- 3924 )",73655,"(+/- 3464 )",88206,"(+/- 4079 )",88343,"(+/- 4690 )",92684,"(+/- 4875 )",79941,"(+/- 4491 )",79014,"(+/- 3786 )",59983,"(+/- 3331 )",82478,"(+/- 4374 )",64606,"(+/- 3251 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",64571,"(+/- 4441 )",66345,"(+/- 4481 )",70981,"(+/- 3500 )",59230,"(+/- 3251 )",58631,"(+/- 3434 )",50802,"(+/- 2688 )",53880,"(+/- 3953 )",57740,"(+/- 3654 )",66752,"(+/- 4173 )",63685,"(+/- 3453 )",70873,"(+/- 3930 )",65101,"(+/- 4169 )",60265,"(+/- 3214 )",55504,"(+/- 2872 )",59500,"(+/- 3345 )",56724,"(+/- 2857 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",74042,"(+/- 3493 )",68124,"(+/- 3269 )",60204,"(+/- 3935 )",64708,"(+/- 3177 )",67470,"(+/- 3471 )",65855,"(+/- 3037 )",70356,"(+/- 3741 )",67718,"(+/- 3633 )",61917,"(+/- 3224 )",66896,"(+/- 3806 )",57095,"(+/- 3553 )",73675,"(+/- 4355 )",69455,"(+/- 3724 )",76134,"(+/- 3913 )",67828,"(+/- 3549 )",73067,"(+/- 2879 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",33728,"(+/- 2489 )",40903,"(+/- 2634 )",27536,"(+/- 2251 )",37603,"(+/- 2492 )",41553,"(+/- 2609 )",43322,"(+/- 2709 )",37422,"(+/- 2383 )",34758,"(+/- 2244 )",36563,"(+/- 2529 )",33392,"(+/- 2454 )",33750,"(+/- 2370 )",37509,"(+/- 2731 )",37114,"(+/- 2770 )",44435,"(+/- 2557 )",40855,"(+/- 2327 )",45070,"(+/- 2631 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",15183,"(+/- 1912 )",17560,"(+/- 2258 )",11171,"(+/- 1450 )",22144,"(+/- 2017 )",20998,"(+/- 1717 )",22973,"(+/- 2095 )",22908,"(+/- 2223 )",18497,"(+/- 1745 )",20279,"(+/- 1992 )",21454,"(+/- 2049 )",18086,"(+/- 1685 )",17768,"(+/- 1561 )",19989,"(+/- 2054 )",23254,"(+/- 1868 )",19140,"(+/- 2103 )",23229,"(+/- 1823 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",18438,"(+/- 1773 )",23554,"(+/- 2040 )",16571,"(+/- 1685 )",30033,"(+/- 2035 )",25730,"(+/- 1965 )",36859,"(+/- 2050 )",29958,"(+/- 2363 )",23978,"(+/- 1677 )",29921,"(+/- 2004 )",25426,"(+/- 2245 )",29778,"(+/- 2106 )",19580,"(+/- 1920 )",39034,"(+/- 2638 )",27971,"(+/- 1820 )",20714,"(+/- 1888 )",25247,"(+/- 2036 )"
Housing,Value,"Owner-occupied units",180267,"(+/- 4229 )",199034,"(+/- 4322 )",137939,"(+/- 4672 )",196844,"(+/- 3980 )",206431,"(+/- 4202 )",204482,"(+/- 4387 )",204943,"(+/- 4484 )",191690,"(+/- 3673 )",173796,"(+/- 4837 )",183626,"(+/- 3959 )",144673,"(+/- 4089 )",212959,"(+/- 4409 )",195306,"(+/- 4832 )",219867,"(+/- 4563 )",201475,"(+/- 4163 )",216849,"(+/- 4901 )"
Housing,Value,"Less than $50,000",9009,"(+/- 1355 )",13489,"(+/- 1893 )",9923,"(+/- 1308 )",17373,"(+/- 1861 )",16812,"(+/- 1760 )",28650,"(+/- 2320 )",14344,"(+/- 1501 )",13095,"(+/- 1796 )",23804,"(+/- 2039 )",17355,"(+/- 1821 )",25652,"(+/- 2063 )",11272,"(+/- 1610 )",29834,"(+/- 2494 )",9745,"(+/- 1258 )",13073,"(+/- 1479 )",8169,"(+/- 1308 )"
Housing,Value,"$50,000 to $99,999",28529,"(+/- 2706 )",35801,"(+/- 2678 )",32821,"(+/- 2683 )",53806,"(+/- 2815 )",45065,"(+/- 2762 )",58273,"(+/- 3232 )",44789,"(+/- 2637 )",41721,"(+/- 2312 )",60394,"(+/- 2581 )",48926,"(+/- 2680 )",51965,"(+/- 2806 )",24194,"(+/- 2129 )",65005,"(+/- 3447 )",25405,"(+/- 2092 )",29236,"(+/- 2365 )",21973,"(+/- 2145 )"
Housing,Value,"$100,000 to $149,999",42554,"(+/- 3260 )",47086,"(+/- 3016 )",38418,"(+/- 3008 )",47449,"(+/- 2510 )",49862,"(+/- 2589 )",44164,"(+/- 2451 )",51005,"(+/- 2572 )",42401,"(+/- 2790 )",41105,"(+/- 3081 )",41361,"(+/- 3045 )",22523,"(+/- 1966 )",30658,"(+/- 2646 )",47383,"(+/- 3108 )",43146,"(+/- 2962 )",38502,"(+/- 2593 )",53057,"(+/- 2896 )"
Housing,Value,"$150,000 to $199,999",29448,"(+/- 2297 )",33999,"(+/- 2589 )",30676,"(+/- 2817 )",32520,"(+/- 2238 )",38176,"(+/- 2576 )",34122,"(+/- 2458 )",37020,"(+/- 2501 )",35729,"(+/- 2479 )",20373,"(+/- 2133 )",30415,"(+/- 2419 )",14574,"(+/- 1430 )",34374,"(+/- 2531 )",24760,"(+/- 2324 )",41379,"(+/- 2587 )",39137,"(+/- 2984 )",54704,"(+/- 2803 )"
Housing,Value,"$200,000 to $299,999",33399,"(+/- 2533 )",34362,"(+/- 2689 )",17472,"(+/- 1912 )",28938,"(+/- 2353 )",37236,"(+/- 2499 )",24886,"(+/- 2185 )",37299,"(+/- 2546 )",37275,"(+/- 2673 )",15501,"(+/- 1621 )",27170,"(+/- 2289 )",12452,"(+/- 1505 )",51883,"(+/- 2762 )",18734,"(+/- 1920 )",55314,"(+/- 3041 )",45626,"(+/- 2825 )",51198,"(+/- 2901 )"
Housing,Value,"$300,000 to $499,999",27012,"(+/- 2292 )",22890,"(+/- 1840 )",5636,"(+/- 915 )",13005,"(+/- 1651 )",14070,"(+/- 1991 )",10771,"(+/- 1349 )",16738,"(+/- 1957 )",17367,"(+/- 1809 )",8312,"(+/- 1144 )",14143,"(+/- 1422 )",11221,"(+/- 1275 )",46280,"(+/- 2357 )",7158,"(+/- 1022 )",33943,"(+/- 2293 )",26308,"(+/- 1921 )",21054,"(+/- 1867 )"
Housing,Value,"$500,000 to $999,999",7928,"(+/- 1208 )",10477,"(+/- 1266 )",2070,"(+/- 565 )",3195,"(+/- 875 )",4065,"(+/- 999 )",2703,"(+/- 768 )",3233,"(+/- 793 )",3469,"(+/- 676 )",3205,"(+/- 671 )",3023,"(+/- 739 )",5612,"(+/- 951 )",12690,"(+/- 1531 )",1984,"(+/- 661 )",9224,"(+/- 1330 )",8384,"(+/- 1023 )",6175,"(+/- 1012 )"
Housing,Value,"$1,000,000 or more",2388,"(+/- 845 )",930,"(+/- 390 )",923,"(+/- 456 )",558,"(+/- 262 )",1145,"(+/- 509 )",913,"(+/- 451 )",515,"(+/- 237 )",633,"(+/- 289 )",1102,"(+/- 416 )",1233,"(+/- 584 )",674,"(+/- 392 )",1608,"(+/- 513 )",448,"(+/- 315 )",1711,"(+/- 490 )",1209,"(+/- 477 )",519,"(+/- 288 )"
Housing,Value,"Median (dollars)",162800,"(+/- 3599 )",153700,"(+/- 3322 )",134300,"(+/- 3863 )",126400,"(+/- 3319 )",140600,"(+/- 2922 )",115000,"(+/- 3443 )",142600,"(+/- 2529 )",148200,"(+/- 3082 )",102700,"(+/- 2148 )",130100,"(+/- 3268 )",93000,"(+/- 2731 )",211300,"(+/- 5447 )",102500,"(+/- 2358 )",184800,"(+/- 4891 )",172300,"(+/- 3498 )",169600,"(+/- 2122 )"
Housing,"Mortgage Status","Owner-occupied units",180267,"(+/- 4229 )",199034,"(+/- 4322 )",137939,"(+/- 4672 )",196844,"(+/- 3980 )",206431,"(+/- 4202 )",204482,"(+/- 4387 )",204943,"(+/- 4484 )",191690,"(+/- 3673 )",173796,"(+/- 4837 )",183626,"(+/- 3959 )",144673,"(+/- 4089 )",212959,"(+/- 4409 )",195306,"(+/- 4832 )",219867,"(+/- 4563 )",201475,"(+/- 4163 )",216849,"(+/- 4901 )"
Housing,"Mortgage Status","Housing units with a mortgage",126515,"(+/- 4305 )",127955,"(+/- 4643 )",99325,"(+/- 4377 )",118848,"(+/- 3857 )",127328,"(+/- 4093 )",103373,"(+/- 4263 )",125601,"(+/- 4147 )",125933,"(+/- 3822 )",106314,"(+/- 4324 )",113326,"(+/- 4044 )",80760,"(+/- 3251 )",150714,"(+/- 4340 )",112532,"(+/- 3816 )",139805,"(+/- 4281 )",132371,"(+/- 4158 )",136636,"(+/- 4025 )"
Housing,"Mortgage Status","Housing units without a mortgage",53752,"(+/- 2626 )",71079,"(+/- 3178 )",38614,"(+/- 3412 )",77996,"(+/- 2921 )",79103,"(+/- 3179 )",101109,"(+/- 3929 )",79342,"(+/- 3614 )",65757,"(+/- 2822 )",67482,"(+/- 3150 )",70300,"(+/- 3034 )",63913,"(+/- 3656 )",62245,"(+/- 2915 )",82774,"(+/- 3810 )",80062,"(+/- 3367 )",69104,"(+/- 3307 )",80213,"(+/- 3559 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",126515,"(+/- 4305 )",127955,"(+/- 4643 )",99325,"(+/- 4377 )",118848,"(+/- 3857 )",127328,"(+/- 4093 )",103373,"(+/- 4263 )",125601,"(+/- 4147 )",125933,"(+/- 3822 )",106314,"(+/- 4324 )",113326,"(+/- 4044 )",80760,"(+/- 3251 )",150714,"(+/- 4340 )",112532,"(+/- 3816 )",139805,"(+/- 4281 )",132371,"(+/- 4158 )",136636,"(+/- 4025 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",582,"(+/- 317 )",1683,"(+/- 527 )",1468,"(+/- 468 )",2940,"(+/- 637 )",3174,"(+/- 645 )",4599,"(+/- 987 )",3733,"(+/- 658 )",2892,"(+/- 614 )",3282,"(+/- 798 )",1612,"(+/- 508 )",2348,"(+/- 649 )",2018,"(+/- 726 )",5470,"(+/- 1044 )",1741,"(+/- 489 )",1680,"(+/- 560 )",1501,"(+/- 560 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",29023,"(+/- 2916 )",33417,"(+/- 2145 )",29452,"(+/- 2707 )",49147,"(+/- 2778 )",43697,"(+/- 2650 )",48842,"(+/- 2922 )",45820,"(+/- 3157 )",40744,"(+/- 2454 )",43230,"(+/- 2516 )",34756,"(+/- 2472 )",28397,"(+/- 2061 )",29326,"(+/- 1875 )",50870,"(+/- 2659 )",30600,"(+/- 2554 )",29320,"(+/- 2670 )",32462,"(+/- 2978 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",45059,"(+/- 3320 )",46500,"(+/- 3577 )",43827,"(+/- 3451 )",39457,"(+/- 2819 )",43494,"(+/- 2613 )",32724,"(+/- 2425 )",44573,"(+/- 3007 )",46406,"(+/- 3072 )",38673,"(+/- 2889 )",43329,"(+/- 3324 )",26408,"(+/- 2277 )",42341,"(+/- 3308 )",38239,"(+/- 2700 )",46585,"(+/- 3271 )",45142,"(+/- 2949 )",52674,"(+/- 2609 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",26934,"(+/- 2345 )",22330,"(+/- 1906 )",16247,"(+/- 2227 )",16405,"(+/- 1742 )",21551,"(+/- 1895 )",10756,"(+/- 1611 )",20293,"(+/- 1972 )",21326,"(+/- 2392 )",11407,"(+/- 1405 )",19785,"(+/- 1938 )",11835,"(+/- 1672 )",34396,"(+/- 2622 )",12098,"(+/- 1591 )",32079,"(+/- 2706 )",31347,"(+/- 2511 )",30890,"(+/- 2542 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",10864,"(+/- 1357 )",10840,"(+/- 1438 )",4212,"(+/- 923 )",6054,"(+/- 1117 )",8739,"(+/- 1409 )",3267,"(+/- 899 )",7043,"(+/- 1165 )",9693,"(+/- 1540 )",5793,"(+/- 1216 )",7890,"(+/- 1162 )",5243,"(+/- 937 )",19221,"(+/- 1780 )",3316,"(+/- 849 )",15197,"(+/- 1544 )",12893,"(+/- 1641 )",11005,"(+/- 1358 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",6235,"(+/- 1394 )",5031,"(+/- 835 )",1734,"(+/- 502 )",3087,"(+/- 1174 )",3278,"(+/- 778 )",1477,"(+/- 648 )",2031,"(+/- 577 )",3166,"(+/- 705 )",2735,"(+/- 589 )",2885,"(+/- 791 )",2189,"(+/- 614 )",10184,"(+/- 1527 )",1512,"(+/- 516 )",5574,"(+/- 917 )",6375,"(+/- 1104 )",4412,"(+/- 914 )"
