Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
Business,"Paid employees for pay period including March 12",Utilities,947,J,h,D,1276,J,2039,G,2537,J,1547,H
Business,"Paid employees for pay period including March 12",Construction,17104,G,15221,G,17593,G,13331,G,11244,G,58492,H
Business,"Paid employees for pay period including March 12",Manufacturing,15882,G,24893,G,25290,G,18539,G,16850,G,16898,G
Business,"Paid employees for pay period including March 12","Wholesale trade",17081,G,10953,G,15174,G,9354,G,8287,G,13381,G
Business,"Paid employees for pay period including March 12","Retail trade",47847,G,32466,G,42920,G,34552,G,35161,G,47159,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",17786,G,18205,G,10914,G,7253,G,6530,G,7525,H
Business,"Paid employees for pay period including March 12",Information,10638,H,3495,H,3762,H,2931,G,4131,G,4844,G
Business,"Paid employees for pay period including March 12","Finance and insurance",14751,G,10878,G,8372,G,7244,G,8688,G,13495,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",6779,G,5251,G,7466,G,3259,G,2950,H,5024,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",17227,G,20295,G,15654,G,7910,G,8796,G,23539,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",5929,G,4549,H,3860,G,1518,G,1515,G,8127,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",16167,G,18674,G,12332,G,10395,G,7510,G,17092,G
Business,"Paid employees for pay period including March 12","Educational services",11717,G,16588,G,3936,G,2860,G,3168,G,5538,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",56647,G,37522,G,51225,G,47373,G,55482,G,45904,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",6358,G,7210,G,2834,G,2564,G,1838,H,4779,H
Business,"Paid employees for pay period including March 12","Accommodation and food services",37663,G,51891,G,37534,G,28422,G,23180,G,38637,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",14467,G,12901,G,12325,G,10561,G,10211,G,15219,G
Business,"Paid employees for pay period including March 12","Industries not classified",70,J,25,J,39,G,56,J,27,J,15,J
Business,"Annual payroll ($1,000)","Total for all sectors",14632705,G,14281270,G,12333845,G,8162039,G,7467676,G,15561172,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",4758,G,26320,H,9320,H,68890,G,59493,G,6074,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",701740,H,186494,G,1056670,G,320726,G,74892,G,120545,H
Business,"Annual payroll ($1,000)",Utilities,70945,J,D,D,93967,J,155213,H,238207,J,114936,H
Business,"Annual payroll ($1,000)",Construction,1006886,G,870557,G,879353,G,640449,G,507754,G,4020288,H
Business,"Annual payroll ($1,000)",Manufacturing,968772,G,2323764,G,1708658,G,968860,G,889073,G,1336898,G
Business,"Annual payroll ($1,000)","Wholesale trade",1016131,G,631422,G,819204,G,468939,G,373696,G,814572,G
Business,"Annual payroll ($1,000)","Retail trade",1249703,G,865395,G,1089737,G,857867,G,872810,G,1215688,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",1122564,G,991498,G,650830,G,369843,G,295345,G,407928,H
Business,"Annual payroll ($1,000)",Information,223588,G,214291,H,168155,H,137015,G,266747,H,241965,G
Business,"Annual payroll ($1,000)","Finance and insurance",1089470,G,923045,G,461439,G,371464,G,416336,G,912174,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",333352,G,225765,G,382577,G,123956,G,96625,G,223433,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1101731,G,1490681,G,987274,G,372776,G,375045,G,1587845,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",491708,G,518980,H,286844,G,85117,H,76488,G,579462,G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",581193,G,612687,G,515090,G,289149,G,216953,G,660847,G
Business,"Annual payroll ($1,000)","Educational services",482589,G,655206,G,110092,G,79498,G,76975,G,167046,G
Business,"Annual payroll ($1,000)","Health care and social assistance",2749455,G,1577073,G,2054358,G,2090551,G,2015090,G,1929116,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",330170,H,264697,H,47671,G,42225,G,33510,H,87320,H
Business,"Annual payroll ($1,000)","Accommodation and food services",625444,G,1133090,G,663934,G,468695,G,331422,G,600458,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",481791,G,412958,G,347811,G,249076,G,250715,G,534042,G
Business,"Annual payroll ($1,000)","Industries not classified",715,G,472,H,861,G,1730,G,500,H,535,G
Business,"Total Establishments","Total for all sectors",21106,X,16070,X,19703,X,15002,X,15112,X,18207,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",69,X,10,X,48,X,221,X,208,X,39,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",193,X,62,X,540,X,397,X,142,X,107,X
Business,"Total Establishments",Utilities,55,X,76,X,77,X,123,X,136,X,59,X
Business,"Total Establishments",Construction,1727,X,956,X,1468,X,1219,X,1078,X,1633,X
Business,"Total Establishments",Manufacturing,576,X,491,X,787,X,411,X,422,X,522,X
Business,"Total Establishments","Wholesale trade",1253,X,745,X,1109,X,694,X,633,X,921,X
Business,"Total Establishments","Retail trade",2965,X,2644,X,2991,X,2492,X,2685,X,2775,X
Business,"Total Establishments","Transportation and warehousing",828,X,718,X,770,X,588,X,497,X,478,X
Business,"Total Establishments",Information,302,X,234,X,241,X,233,X,238,X,241,X
Business,"Total Establishments","Finance and insurance",1537,X,905,X,1334,X,1114,X,1180,X,1395,X
Business,"Total Establishments","Real estate and rental and leasing",1049,X,690,X,1027,X,672,X,649,X,886,X
Business,"Total Establishments","Professional, scientific, and technical services",2596,X,1938,X,2361,X,1309,X,1354,X,2316,X
Business,"Total Establishments","Management of companies and enterprises",159,X,126,X,120,X,69,X,67,X,111,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1072,X,744,X,801,X,576,X,576,X,872,X
Business,"Total Establishments","Educational services",255,X,257,X,190,X,148,X,143,X,244,X
Business,"Total Establishments","Health care and social assistance",2504,X,1595,X,2346,X,1805,X,2173,X,1958,X
Business,"Total Establishments","Arts, entertainment, and recreation",320,X,256,X,262,X,180,X,173,X,248,X
Business,"Total Establishments","Accommodation and food services",1964,X,1979,X,1631,X,1216,X,1097,X,1659,X
Business,"Total Establishments","Other services (except public administration)",1651,X,1625,X,1575,X,1505,X,1643,X,1728,X
Business,"Total Establishments","Industries not classified",31,X,19,X,25,X,30,X,18,X,15,X

"Source: 2016 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - CBP data includes employers without a fixed location within a state (or of unknown county location), these are included under a statewide classification. Statewide cases are withheld from the tabulation for this My Congressional District tool. This incomplete detail causes only a slight understatement of a district's total estimates. Statewide cases do not apply to at-large districts."
"4. If a sector does not appear in a district, CBP did not identify any establishments in the district."
"5. Disclosure and Quality Indicator Flag Definitions:"
"D Withheld to avoid disclosing data for individual companies; data are included in higher level totals"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"S Cell value withheld because it did not meet publication standards"
"N Not available or not comparable"
"X Not applicable"
"a 0 to 19 employees"
"b 20 to 99 employees"
"c 100 to 249 employees"
"e 250 to 499 employees"
"f 500 to 999 employees"
"g 1,000 to 2,499 employees"
"h 2,500 to 4,999 employees"
"i 5,000 to 9,999 employees"
"j 10,000 to 24,999 employees"
"l 50,000 to 99,999 employees"
"m 100,000 employees or more"
