Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
Workers,"Class of Worker","Private wage and salary workers",249027,"(+/- 8061 )",194090,"(+/- 6073 )",267598,"(+/- 8517 )",306951,"(+/- 10346 )",327319,"(+/- 10062 )",349361,"(+/- 8546 )",339154,"(+/- 9617 )",218040,"(+/- 5771 )",272935,"(+/- 7515 )",245997,"(+/- 8094 )",339519,"(+/- 8991 )",219234,"(+/- 5292 )",286233,"(+/- 10519 )",270078,"(+/- 7323 )"
Workers,"Class of Worker","Government workers",52286,"(+/- 4058 )",47821,"(+/- 3774 )",53668,"(+/- 4058 )",50201,"(+/- 4204 )",48686,"(+/- 3834 )",30098,"(+/- 3558 )",35907,"(+/- 3923 )",61373,"(+/- 4921 )",45535,"(+/- 3157 )",59678,"(+/- 4454 )",38403,"(+/- 4016 )",59305,"(+/- 4155 )",53101,"(+/- 4772 )",39013,"(+/- 3232 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",19524,"(+/- 3144 )",12835,"(+/- 1879 )",19626,"(+/- 2704 )",18520,"(+/- 3397 )",21436,"(+/- 3098 )",24732,"(+/- 3446 )",26004,"(+/- 3430 )",14471,"(+/- 2293 )",22338,"(+/- 2696 )",16846,"(+/- 2114 )",25648,"(+/- 2770 )",16229,"(+/- 2181 )",20304,"(+/- 3164 )",15610,"(+/- 2644 )"
Workers,"Class of Worker","Unpaid family workers",624,"(+/- 794 )",360,"(+/- 273 )",503,"(+/- 370 )",495,"(+/- 300 )",196,"(+/- 197 )",724,"(+/- 480 )",1319,"(+/- 1372 )",314,"(+/- 214 )",446,"(+/- 323 )",631,"(+/- 449 )",493,"(+/- 379 )",182,"(+/- 161 )",270,"(+/- 281 )",554,"(+/- 414 )"
Housing,"Housing Occupancy","Total housing units",325443,"(+/- 2033 )",302635,"(+/- 2953 )",297642,"(+/- 3251 )",285964,"(+/- 4582 )",363768,"(+/- 5993 )",306443,"(+/- 5838 )",276835,"(+/- 4200 )",303091,"(+/- 3072 )",334242,"(+/- 2325 )",299899,"(+/- 4703 )",307580,"(+/- 4506 )",303768,"(+/- 2435 )",289807,"(+/- 6741 )",285137,"(+/- 1508 )"
Housing,"Housing Occupancy","Occupied housing units",276109,"(+/- 4228 )",245599,"(+/- 4130 )",272918,"(+/- 4028 )",262056,"(+/- 5257 )",303273,"(+/- 6234 )",284919,"(+/- 5749 )",263436,"(+/- 4950 )",257564,"(+/- 4595 )",263353,"(+/- 4659 )",259444,"(+/- 5251 )",286732,"(+/- 4553 )",246483,"(+/- 5005 )",267301,"(+/- 6426 )",255887,"(+/- 3957 )"
Housing,"Housing Occupancy","Vacant housing units",49334,"(+/- 3910 )",57036,"(+/- 3179 )",24724,"(+/- 3151 )",23908,"(+/- 2549 )",60495,"(+/- 5202 )",21524,"(+/- 2823 )",13399,"(+/- 2648 )",45527,"(+/- 3840 )",70889,"(+/- 4685 )",40455,"(+/- 3373 )",20848,"(+/- 3239 )",57285,"(+/- 4685 )",22506,"(+/- 3403 )",29250,"(+/- 3620 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",2.2,"(+/- 0.8 )",2.2,"(+/- 0.7 )",0.7,"(+/- 0.4 )",1.3,"(+/- 0.6 )",3.1,"(+/- 0.9 )",1.3,"(+/- 0.6 )",1.0,"(+/- 0.5 )",2.1,"(+/- 0.9 )",2.7,"(+/- 0.7 )",1.7,"(+/- 0.6 )",1.2,"(+/- 0.6 )",2.8,"(+/- 0.9 )",2.1,"(+/- 0.9 )",2.3,"(+/- 0.9 )"
Housing,"Housing Occupancy","Rental vacancy rate",8.0,"(+/- 1.5 )",6.4,"(+/- 1.2 )",3.6,"(+/- 1.3 )",4.6,"(+/- 1.2 )",7.5,"(+/- 1.2 )",7.1,"(+/- 1.8 )",7.9,"(+/- 2.5 )",7.3,"(+/- 1.5 )",8.8,"(+/- 2.2 )",5.8,"(+/- 1.5 )",4.4,"(+/- 1.5 )",10.1,"(+/- 2.0 )",7.1,"(+/- 1.8 )",5.1,"(+/- 1.5 )"
Housing,"Housing Tenure","Occupied housing units",276109,"(+/- 4228 )",245599,"(+/- 4130 )",272918,"(+/- 4028 )",262056,"(+/- 5257 )",303273,"(+/- 6234 )",284919,"(+/- 5749 )",263436,"(+/- 4950 )",257564,"(+/- 4595 )",263353,"(+/- 4659 )",259444,"(+/- 5251 )",286732,"(+/- 4553 )",246483,"(+/- 5005 )",267301,"(+/- 6426 )",255887,"(+/- 3957 )"
Housing,"Housing Tenure",Owner-occupied,168281,"(+/- 4700 )",134932,"(+/- 3914 )",183923,"(+/- 5017 )",157051,"(+/- 4674 )",133269,"(+/- 4685 )",182624,"(+/- 5061 )",184955,"(+/- 4533 )",162905,"(+/- 4857 )",197623,"(+/- 4892 )",174763,"(+/- 4429 )",187166,"(+/- 4283 )",155267,"(+/- 4776 )",162433,"(+/- 5937 )",169730,"(+/- 5029 )"
Housing,"Housing Tenure",Renter-occupied,107828,"(+/- 5193 )",110667,"(+/- 4298 )",88995,"(+/- 5401 )",105005,"(+/- 4770 )",170004,"(+/- 5413 )",102295,"(+/- 5547 )",78481,"(+/- 4846 )",94659,"(+/- 4013 )",65730,"(+/- 3915 )",84681,"(+/- 4811 )",99566,"(+/- 4693 )",91216,"(+/- 4030 )",104868,"(+/- 6092 )",86157,"(+/- 4155 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.62,"(+/- 0.05 )",2.60,"(+/- 0.06 )",2.77,"(+/- 0.05 )",2.94,"(+/- 0.07 )",2.54,"(+/- 0.09 )",2.74,"(+/- 0.06 )",3.11,"(+/- 0.06 )",2.64,"(+/- 0.06 )",2.80,"(+/- 0.05 )",2.77,"(+/- 0.05 )",2.77,"(+/- 0.04 )",2.81,"(+/- 0.08 )",2.82,"(+/- 0.08 )",2.73,"(+/- 0.06 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.61,"(+/- 0.09 )",2.59,"(+/- 0.08 )",2.45,"(+/- 0.08 )",2.84,"(+/- 0.11 )",2.38,"(+/- 0.08 )",2.46,"(+/- 0.10 )",2.88,"(+/- 0.12 )",2.62,"(+/- 0.07 )",2.89,"(+/- 0.12 )",2.65,"(+/- 0.11 )",2.41,"(+/- 0.09 )",2.75,"(+/- 0.13 )",2.75,"(+/- 0.11 )",2.79,"(+/- 0.10 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",276109,"(+/- 4228 )",245599,"(+/- 4130 )",272918,"(+/- 4028 )",262056,"(+/- 5257 )",303273,"(+/- 6234 )",284919,"(+/- 5749 )",263436,"(+/- 4950 )",257564,"(+/- 4595 )",263353,"(+/- 4659 )",259444,"(+/- 5251 )",286732,"(+/- 4553 )",246483,"(+/- 5005 )",267301,"(+/- 6426 )",255887,"(+/- 3957 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 or later",94446,"(+/- 5517 )",76880,"(+/- 4342 )",76506,"(+/- 5213 )",77182,"(+/- 4127 )",122833,"(+/- 4854 )",98178,"(+/- 5172 )",79392,"(+/- 4367 )",74612,"(+/- 4511 )",66932,"(+/- 3203 )",73735,"(+/- 3744 )",100057,"(+/- 5747 )",69521,"(+/- 4362 )",78333,"(+/- 5234 )",62528,"(+/- 3778 )"
Housing,"Year Householder Moved into Unit","Moved in 2010 to 2014",58466,"(+/- 4238 )",48011,"(+/- 3261 )",61424,"(+/- 3952 )",61562,"(+/- 4478 )",78273,"(+/- 4596 )",63839,"(+/- 4279 )",65319,"(+/- 3978 )",51979,"(+/- 3996 )",53646,"(+/- 3295 )",54839,"(+/- 3758 )",69524,"(+/- 4389 )",49449,"(+/- 3685 )",69285,"(+/- 5701 )",59460,"(+/- 3911 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",60489,"(+/- 4340 )",51983,"(+/- 3286 )",70547,"(+/- 3520 )",66194,"(+/- 4030 )",52136,"(+/- 4464 )",62703,"(+/- 3429 )",75554,"(+/- 4219 )",61972,"(+/- 3437 )",74880,"(+/- 4252 )",68684,"(+/- 4748 )",68184,"(+/- 4696 )",58470,"(+/- 3782 )",68002,"(+/- 5598 )",67088,"(+/- 3270 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",33562,"(+/- 3175 )",30338,"(+/- 2464 )",34578,"(+/- 2649 )",35935,"(+/- 3105 )",21047,"(+/- 2386 )",36696,"(+/- 2622 )",30548,"(+/- 2694 )",33554,"(+/- 2739 )",36690,"(+/- 2906 )",34716,"(+/- 2767 )",30261,"(+/- 2796 )",34068,"(+/- 2290 )",28927,"(+/- 2590 )",32542,"(+/- 3228 )"
Housing,"Year Householder Moved into Unit","Moved in 1980 to 1989",14418,"(+/- 1853 )",15840,"(+/- 1747 )",14262,"(+/- 2051 )",11245,"(+/- 1622 )",11584,"(+/- 1545 )",14957,"(+/- 1586 )",8898,"(+/- 1688 )",16873,"(+/- 1858 )",14962,"(+/- 2051 )",14065,"(+/- 1893 )",11362,"(+/- 1658 )",15182,"(+/- 1703 )",11377,"(+/- 1819 )",17128,"(+/- 1811 )"
Housing,"Year Householder Moved into Unit","Moved in 1979 and earlier",14728,"(+/- 1903 )",22547,"(+/- 1813 )",15601,"(+/- 1615 )",9938,"(+/- 1620 )",17400,"(+/- 1922 )",8546,"(+/- 1364 )",3725,"(+/- 944 )",18574,"(+/- 1870 )",16243,"(+/- 1491 )",13405,"(+/- 1546 )",7344,"(+/- 1184 )",19793,"(+/- 1934 )",11377,"(+/- 1733 )",17141,"(+/- 1551 )"
Housing,Value,"Owner-occupied units",168281,"(+/- 4700 )",134932,"(+/- 3914 )",183923,"(+/- 5017 )",157051,"(+/- 4674 )",133269,"(+/- 4685 )",182624,"(+/- 5061 )",184955,"(+/- 4533 )",162905,"(+/- 4857 )",197623,"(+/- 4892 )",174763,"(+/- 4429 )",187166,"(+/- 4283 )",155267,"(+/- 4776 )",162433,"(+/- 5937 )",169730,"(+/- 5029 )"
Housing,Value,"Less than $50,000",18991,"(+/- 2461 )",27080,"(+/- 2274 )",12266,"(+/- 1855 )",6712,"(+/- 1441 )",6576,"(+/- 1199 )",1786,"(+/- 641 )",3513,"(+/- 1155 )",26265,"(+/- 2450 )",17848,"(+/- 2216 )",15663,"(+/- 1805 )",5644,"(+/- 1218 )",27041,"(+/- 2263 )",7662,"(+/- 1452 )",16961,"(+/- 2200 )"
Housing,Value,"$50,000 to $99,999",29428,"(+/- 3021 )",41040,"(+/- 2520 )",27522,"(+/- 2841 )",21664,"(+/- 2427 )",20820,"(+/- 2088 )",3025,"(+/- 995 )",3648,"(+/- 934 )",40246,"(+/- 3469 )",27433,"(+/- 2566 )",23502,"(+/- 2308 )",8059,"(+/- 1382 )",38030,"(+/- 3040 )",25921,"(+/- 2344 )",34495,"(+/- 2626 )"
Housing,Value,"$100,000 to $149,999",33925,"(+/- 3158 )",23799,"(+/- 2409 )",33676,"(+/- 2919 )",38211,"(+/- 3073 )",19274,"(+/- 2059 )",8666,"(+/- 1192 )",16406,"(+/- 2283 )",34044,"(+/- 2926 )",31962,"(+/- 2881 )",29469,"(+/- 2787 )",18617,"(+/- 2564 )",29541,"(+/- 2274 )",41404,"(+/- 3781 )",39370,"(+/- 3175 )"
Housing,Value,"$150,000 to $199,999",26734,"(+/- 2739 )",19837,"(+/- 2042 )",35275,"(+/- 3329 )",38002,"(+/- 3691 )",17648,"(+/- 2285 )",13382,"(+/- 1736 )",37558,"(+/- 3532 )",27363,"(+/- 2240 )",33253,"(+/- 2741 )",34335,"(+/- 3014 )",35959,"(+/- 3194 )",22878,"(+/- 2261 )",35204,"(+/- 3276 )",35048,"(+/- 2916 )"
Housing,Value,"$200,000 to $299,999",30885,"(+/- 3307 )",13290,"(+/- 1688 )",37312,"(+/- 2924 )",32724,"(+/- 3337 )",20983,"(+/- 2525 )",34182,"(+/- 3229 )",52255,"(+/- 3279 )",20534,"(+/- 2124 )",39776,"(+/- 2988 )",38425,"(+/- 2678 )",52341,"(+/- 3424 )",22824,"(+/- 2276 )",33093,"(+/- 2754 )",27242,"(+/- 2570 )"
Housing,Value,"$300,000 to $499,999",16985,"(+/- 1878 )",7213,"(+/- 1247 )",28677,"(+/- 2061 )",14422,"(+/- 1966 )",23622,"(+/- 1954 )",70150,"(+/- 3560 )",51558,"(+/- 3093 )",10925,"(+/- 1992 )",32816,"(+/- 2661 )",24395,"(+/- 2157 )",41428,"(+/- 2920 )",11529,"(+/- 1762 )",15075,"(+/- 2122 )",11672,"(+/- 1831 )"
Housing,Value,"$500,000 to $999,999",8293,"(+/- 1150 )",1616,"(+/- 582 )",8008,"(+/- 1521 )",4550,"(+/- 1044 )",19163,"(+/- 1981 )",44707,"(+/- 2947 )",17795,"(+/- 2037 )",2859,"(+/- 786 )",12642,"(+/- 1739 )",7055,"(+/- 1037 )",18687,"(+/- 2030 )",3227,"(+/- 853 )",3496,"(+/- 993 )",3484,"(+/- 1038 )"
Housing,Value,"$1,000,000 or more",3040,"(+/- 796 )",1057,"(+/- 443 )",1187,"(+/- 598 )",766,"(+/- 434 )",5183,"(+/- 1066 )",6726,"(+/- 1244 )",2222,"(+/- 796 )",669,"(+/- 335 )",1893,"(+/- 576 )",1919,"(+/- 659 )",6431,"(+/- 1076 )",197,"(+/- 184 )",578,"(+/- 385 )",1458,"(+/- 634 )"
Housing,Value,"Median (dollars)",152800,"(+/- 5143 )",99000,"(+/- 4166 )",169900,"(+/- 3648 )",162900,"(+/- 3758 )",209800,"(+/- 10901 )",386800,"(+/- 7867 )",259100,"(+/- 6229 )",120000,"(+/- 4245 )",178500,"(+/- 5500 )",172100,"(+/- 2959 )",246300,"(+/- 6574 )",119600,"(+/- 4870 )",156500,"(+/- 3203 )",142900,"(+/- 3902 )"
Housing,"Mortgage Status","Owner-occupied units",168281,"(+/- 4700 )",134932,"(+/- 3914 )",183923,"(+/- 5017 )",157051,"(+/- 4674 )",133269,"(+/- 4685 )",182624,"(+/- 5061 )",184955,"(+/- 4533 )",162905,"(+/- 4857 )",197623,"(+/- 4892 )",174763,"(+/- 4429 )",187166,"(+/- 4283 )",155267,"(+/- 4776 )",162433,"(+/- 5937 )",169730,"(+/- 5029 )"
Housing,"Mortgage Status","Housing units with a mortgage",103953,"(+/- 4440 )",69278,"(+/- 3570 )",119843,"(+/- 4857 )",115662,"(+/- 4692 )",90394,"(+/- 3867 )",134975,"(+/- 4891 )",142855,"(+/- 4589 )",89335,"(+/- 4127 )",112659,"(+/- 4399 )",111721,"(+/- 4796 )",135484,"(+/- 5561 )",82116,"(+/- 4192 )",122472,"(+/- 5642 )",98811,"(+/- 5333 )"
Housing,"Mortgage Status","Housing units without a mortgage",64328,"(+/- 3580 )",65654,"(+/- 2902 )",64080,"(+/- 4201 )",41389,"(+/- 3259 )",42875,"(+/- 3091 )",47649,"(+/- 3215 )",42100,"(+/- 3017 )",73570,"(+/- 3527 )",84964,"(+/- 3648 )",63042,"(+/- 3071 )",51682,"(+/- 3886 )",73151,"(+/- 4132 )",39961,"(+/- 2939 )",70919,"(+/- 3338 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",103953,"(+/- 4440 )",69278,"(+/- 3570 )",119843,"(+/- 4857 )",115662,"(+/- 4692 )",90394,"(+/- 3867 )",134975,"(+/- 4891 )",142855,"(+/- 4589 )",89335,"(+/- 4127 )",112659,"(+/- 4399 )",111721,"(+/- 4796 )",135484,"(+/- 5561 )",82116,"(+/- 4192 )",122472,"(+/- 5642 )",98811,"(+/- 5333 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1545,"(+/- 621 )",2341,"(+/- 761 )",2005,"(+/- 779 )",2520,"(+/- 807 )",1212,"(+/- 485 )",1081,"(+/- 406 )",833,"(+/- 430 )",2524,"(+/- 739 )",2242,"(+/- 710 )",1235,"(+/- 681 )",1546,"(+/- 654 )",1768,"(+/- 690 )",2070,"(+/- 665 )",2503,"(+/- 797 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",29677,"(+/- 2825 )",28311,"(+/- 2381 )",29002,"(+/- 2694 )",23424,"(+/- 2581 )",16152,"(+/- 1830 )",10394,"(+/- 1697 )",15403,"(+/- 1918 )",34230,"(+/- 3069 )",31548,"(+/- 2667 )",29371,"(+/- 2718 )",18967,"(+/- 2594 )",29381,"(+/- 2838 )",29543,"(+/- 3084 )",34196,"(+/- 3162 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",36521,"(+/- 3201 )",23443,"(+/- 2163 )",44756,"(+/- 3736 )",50319,"(+/- 3379 )",26674,"(+/- 2755 )",25691,"(+/- 2216 )",47221,"(+/- 3930 )",32144,"(+/- 2741 )",39604,"(+/- 2841 )",43708,"(+/- 3692 )",43729,"(+/- 3100 )",30739,"(+/- 2947 )",51619,"(+/- 4041 )",39784,"(+/- 3414 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",18600,"(+/- 2279 )",9221,"(+/- 1638 )",22750,"(+/- 2467 )",25786,"(+/- 2992 )",15505,"(+/- 2034 )",31543,"(+/- 3003 )",38345,"(+/- 3010 )",12169,"(+/- 1722 )",19812,"(+/- 2365 )",20399,"(+/- 2337 )",34059,"(+/- 3265 )",12912,"(+/- 1797 )",24373,"(+/- 3065 )",13902,"(+/- 2042 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",8864,"(+/- 1644 )",3859,"(+/- 1122 )",12102,"(+/- 1647 )",6623,"(+/- 1082 )",10701,"(+/- 1965 )",24293,"(+/- 2443 )",18910,"(+/- 2235 )",4753,"(+/- 1243 )",10850,"(+/- 1344 )",7638,"(+/- 1368 )",16680,"(+/- 2225 )",5070,"(+/- 1220 )",8895,"(+/- 2155 )",5195,"(+/- 1463 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",3132,"(+/- 778 )",1336,"(+/- 541 )",4618,"(+/- 1040 )",3491,"(+/- 942 )",7352,"(+/- 1168 )",17891,"(+/- 2030 )",12518,"(+/- 2032 )",1767,"(+/- 647 )",4992,"(+/- 1188 )",5104,"(+/- 1555 )",7842,"(+/- 1579 )",1350,"(+/- 760 )",3473,"(+/- 1124 )",1512,"(+/- 774 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",5614,"(+/- 1189 )",767,"(+/- 324 )",4610,"(+/- 1179 )",3499,"(+/- 1138 )",12798,"(+/- 1597 )",24082,"(+/- 2084 )",9625,"(+/- 1638 )",1748,"(+/- 788 )",3611,"(+/- 1000 )",4266,"(+/- 1047 )",12661,"(+/- 2059 )",896,"(+/- 448 )",2499,"(+/- 862 )",1719,"(+/- 824 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1249,"(+/- 38 )",1068,"(+/- 31 )",1310,"(+/- 31 )",1302,"(+/- 38 )",1532,"(+/- 64 )",1979,"(+/- 49 )",1592,"(+/- 37 )",1107,"(+/- 28 )",1250,"(+/- 33 )",1289,"(+/- 31 )",1543,"(+/- 38 )",1133,"(+/- 28 )",1249,"(+/- 30 )",1135,"(+/- 27 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",64328,"(+/- 3580 )",65654,"(+/- 2902 )",64080,"(+/- 4201 )",41389,"(+/- 3259 )",42875,"(+/- 3091 )",47649,"(+/- 3215 )",42100,"(+/- 3017 )",73570,"(+/- 3527 )",84964,"(+/- 3648 )",63042,"(+/- 3071 )",51682,"(+/- 3886 )",73151,"(+/- 4132 )",39961,"(+/- 2939 )",70919,"(+/- 3338 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",14419,"(+/- 2223 )",13229,"(+/- 1587 )",9062,"(+/- 1636 )",4965,"(+/- 1219 )",5416,"(+/- 1027 )",2158,"(+/- 588 )",3727,"(+/- 939 )",15851,"(+/- 1774 )",15992,"(+/- 1775 )",10695,"(+/- 1523 )",6614,"(+/- 1443 )",17846,"(+/- 2243 )",6680,"(+/- 1256 )",16740,"(+/- 1848 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",21006,"(+/- 2654 )",24479,"(+/- 2357 )",19627,"(+/- 2400 )",12571,"(+/- 1537 )",11386,"(+/- 1696 )",6214,"(+/- 1016 )",10448,"(+/- 1351 )",28748,"(+/- 2566 )",31891,"(+/- 2553 )",22973,"(+/- 2066 )",16280,"(+/- 1882 )",28512,"(+/- 2604 )",14552,"(+/- 2222 )",29626,"(+/- 2726 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",18189,"(+/- 1964 )",19862,"(+/- 2060 )",22894,"(+/- 2891 )",14412,"(+/- 2021 )",10805,"(+/- 1521 )",12876,"(+/- 1822 )",14322,"(+/- 1780 )",19464,"(+/- 2253 )",23725,"(+/- 2668 )",19535,"(+/- 2032 )",14978,"(+/- 1966 )",19360,"(+/- 2199 )",12863,"(+/- 1913 )",16833,"(+/- 2132 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",6540,"(+/- 1255 )",5331,"(+/- 951 )",7780,"(+/- 1496 )",6333,"(+/- 1394 )",6502,"(+/- 1368 )",11858,"(+/- 1986 )",6278,"(+/- 1202 )",6249,"(+/- 1220 )",8463,"(+/- 1159 )",5911,"(+/- 1071 )",7432,"(+/- 1353 )",4644,"(+/- 1265 )",3559,"(+/- 1062 )",4876,"(+/- 1298 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",1666,"(+/- 605 )",1552,"(+/- 595 )",2053,"(+/- 623 )",2010,"(+/- 803 )",1889,"(+/- 561 )",6923,"(+/- 1252 )",3900,"(+/- 977 )",2344,"(+/- 768 )",2518,"(+/- 684 )",2469,"(+/- 695 )",2259,"(+/- 873 )",1307,"(+/- 433 )",1159,"(+/- 606 )",2110,"(+/- 956 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",2508,"(+/- 663 )",1201,"(+/- 572 )",2664,"(+/- 828 )",1098,"(+/- 508 )",6877,"(+/- 1321 )",7620,"(+/- 1198 )",3425,"(+/- 973 )",914,"(+/- 410 )",2375,"(+/- 760 )",1459,"(+/- 487 )",4119,"(+/- 985 )",1482,"(+/- 617 )",1148,"(+/- 678 )",734,"(+/- 363 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",373,"(+/- 19 )",369,"(+/- 10 )",424,"(+/- 13 )",438,"(+/- 17 )",472,"(+/- 22 )",648,"(+/- 28 )",475,"(+/- 16 )",357,"(+/- 12 )",370,"(+/- 11 )",388,"(+/- 10 )",433,"(+/- 19 )",349,"(+/- 12 )",383,"(+/- 21 )",339,"(+/- 12 )"
Housing,"Gross Rent","Occupied units paying rent",98985,"(+/- 4780 )",101849,"(+/- 4313 )",83864,"(+/- 5395 )",102262,"(+/- 4710 )",166452,"(+/- 5312 )",100024,"(+/- 5444 )",N,(N),87526,"(+/- 3864 )",58800,"(+/- 4044 )",79707,"(+/- 4716 )",97734,"(+/- 4719 )",84382,"(+/- 3885 )",102320,"(+/- 6202 )",80223,"(+/- 4076 )"
Housing,"Gross Rent","Less than $500",12124,"(+/- 2101 )",20652,"(+/- 2634 )",8686,"(+/- 1746 )",3214,"(+/- 1045 )",16605,"(+/- 2341 )",2089,"(+/- 747 )",N,(N),15768,"(+/- 2049 )",8136,"(+/- 1734 )",9710,"(+/- 1466 )",2284,"(+/- 930 )",14806,"(+/- 1953 )",3652,"(+/- 1408 )",12078,"(+/- 1687 )"
Housing,"Gross Rent","$500 to $999",44838,"(+/- 3534 )",63197,"(+/- 3713 )",43022,"(+/- 3592 )",40928,"(+/- 3031 )",57987,"(+/- 4106 )",12466,"(+/- 1914 )",N,(N),53191,"(+/- 3454 )",36516,"(+/- 3798 )",43243,"(+/- 3504 )",28104,"(+/- 3081 )",49800,"(+/- 3259 )",46297,"(+/- 4372 )",50384,"(+/- 3423 )"
Housing,"Gross Rent","$1,000 to $1,499",31892,"(+/- 3033 )",14769,"(+/- 2083 )",27462,"(+/- 3564 )",48340,"(+/- 4361 )",58938,"(+/- 3666 )",53538,"(+/- 4192 )",N,(N),16068,"(+/- 2294 )",10422,"(+/- 1843 )",19958,"(+/- 2609 )",45810,"(+/- 4157 )",16483,"(+/- 2691 )",42944,"(+/- 4842 )",14356,"(+/- 2698 )"
Housing,"Gross Rent","$1,500 to $1,999",7324,"(+/- 1572 )",2678,"(+/- 893 )",2838,"(+/- 950 )",7767,"(+/- 1930 )",23520,"(+/- 2390 )",23445,"(+/- 3069 )",N,(N),1948,"(+/- 815 )",2687,"(+/- 823 )",4970,"(+/- 1145 )",17737,"(+/- 2649 )",2096,"(+/- 793 )",7290,"(+/- 1806 )",3161,"(+/- 1213 )"
Housing,"Gross Rent","$2,000 to $2,499",2036,"(+/- 758 )",495,"(+/- 338 )",1211,"(+/- 847 )",1142,"(+/- 920 )",5273,"(+/- 1005 )",5173,"(+/- 1482 )",N,(N),330,"(+/- 269 )",336,"(+/- 293 )",1381,"(+/- 682 )",2261,"(+/- 790 )",915,"(+/- 722 )",1187,"(+/- 855 )",212,"(+/- 209 )"
Housing,"Gross Rent","$2,500 to $2,999",518,"(+/- 342 )",33,"(+/- 56 )",88,"(+/- 115 )",183,"(+/- 297 )",2073,"(+/- 737 )",1478,"(+/- 769 )",N,(N),0,"(+/- 224 )",373,"(+/- 326 )",351,"(+/- 388 )",598,"(+/- 371 )",61,"(+/- 103 )",715,"(+/- 757 )",0,"(+/- 224 )"
Housing,"Gross Rent","$3,000 or more",253,"(+/- 220 )",25,"(+/- 43 )",557,"(+/- 495 )",688,"(+/- 466 )",2056,"(+/- 1014 )",1835,"(+/- 676 )",N,(N),221,"(+/- 202 )",330,"(+/- 185 )",94,"(+/- 109 )",940,"(+/- 564 )",221,"(+/- 259 )",235,"(+/- 377 )",32,"(+/- 55 )"
Housing,"Gross Rent","Median (dollars)",933,"(+/- 24 )",717,"(+/- 21 )",904,"(+/- 29 )",1055,"(+/- 24 )",1065,"(+/- 22 )",1335,"(+/- 21 )",1244,"(+/- 30 )",760,"(+/- 20 )",772,"(+/- 35 )",834,"(+/- 34 )",1173,"(+/- 24 )",749,"(+/- 27 )",1011,"(+/- 32 )",757,"(+/- 20 )"
Housing,"Gross Rent","No rent paid",8843,"(+/- 1647 )",8818,"(+/- 1312 )",5131,"(+/- 1341 )",2743,"(+/- 942 )",3552,"(+/- 849 )",2271,"(+/- 856 )",N,(N),7133,"(+/- 1257 )",6930,"(+/- 1526 )",4974,"(+/- 1027 )",1832,"(+/- 612 )",6834,"(+/- 1230 )",2548,"(+/- 933 )",5934,"(+/- 1146 )"
Socioeconomic,"Income and Benefits (In 2017 inflationlation-adjusted dollars)","Total households",276109,"(+/- 4228 )",245599,"(+/- 4130 )",272918,"(+/- 4028 )",262056,"(+/- 5257 )",303273,"(+/- 6234 )",284919,"(+/- 5749 )",263436,"(+/- 4950 )",257564,"(+/- 4595 )",263353,"(+/- 4659 )",259444,"(+/- 5251 )",286732,"(+/- 4553 )",246483,"(+/- 5005 )",267301,"(+/- 6426 )",255887,"(+/- 3957 )"
